Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Lampris guttatus,NA,Opah,NA,F-LAGU,AFC2A01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Lampriformes,Lamprididae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lepidogobius lepidus,NA,Bay Goby,NA,F-LELE,AFCQN21010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Gobiidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lepidopsetta bilineata,Pleuronectes bilineatus,Rock Sole,NA,F-LEBI,AFCTB16080,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lepidopsetta polyxystra,NA,Northern Rock Sole,NA,F-LEPO,AFCTB24010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lepomis gibbosus,NA,Pumpkinseed,NA,F-LEGI,AFCQB11030,G5,Feb-16,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Lepomis macrochirus,NA,Bluegill,NA,F-LPMA,AFCQB11060,G5,Aug-15,SNA,May-19,Dec-15,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Leptagonus frenatus,NA,Sawback Poacher,NA,F-LEFR,AFC4F14010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Leptoclinus maculatus,NA,Daubed Shanny,NA,F-LEMA,AFCSC12030,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Leptocottus armatus,NA,Pacific Staghorn Sculpin,NA,F-LEAR,AFC4E03010,G5,Feb-16,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,5 - Undetermined(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lestidiops ringens,NA,Slender Barracudina,NA,F-LERI,AFC8D03010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Leuroglossus schmidti,NA,Northern Smoothtongue,NA,F-LESC,AFCHF01020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Leuroglossus stilbius,NA,California Smoothtongue,NA,F-LEST,AFCHF01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Limanda aspera,Pleuronectes asper,Yellowfin Sole,NA,F-LIAS,AFCTB16020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis callyodon,NA,Spotted Snailfish,NA,F-LICA,AFC4G07020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis cyclopus,NA,Ribbon Snailfish,NA,F-LICY,AFC4G07040,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis dennyi,NA,Marbled Snailfish,NA,F-LIDE,AFC4G07060,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis florae,NA,Tidepool Snailfish,NA,F-LIFL,AFC4G07070,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis fucensis,NA,Slipskin Snailfish,NA,F-LIFU,AFC4G07080,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis gibbus,NA,Varigated Snailfish,NA,F-LIGI,AFC4G07050,G5,Feb-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis greeni,NA,Lobefin Snailfish,NA,F-LIGR,AFC4G07180,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis mucosus,NA,Slimy Snailfish,NA,F-LIMU,AFC4G07130,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis pulchellus,NA,Showy Snailfish,NA,F-LIPU,AFC4G07140,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Liparis rutteri,NA,Ringtail Snailfish,NA,F-LIRU,AFC4G07150,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lipariscus nanus,NA,Pygmy Snailfish,NA,F-LINA,AFC4G20010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lipolagus ochotensis,NA,Popeye Blacksmelt,NA,F-LIOC,AFCHF03010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lota lota,NA,Burbot,NA,F-LOLO,AFCMA01010,G5,Aug-15,S4S5,May-19,May-19,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lota lota pop. 1,NA,Burbot (Lower Kootenay Population),NA,F-LOLO-01,AFCMA01011,G5T1Q,Oct-01,S1,May-19,Oct-01,NA,NA,Red,NA,NA,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; East Kootenay Trench; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Southern Purcell Mountains; Shuswap River Highland,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,3;4;7;8,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of North Okanagan; Thompson-Nicola Regional District,Nelson; Slocan; Silverton; Creston; Kaslo; New Denver; Nakusp; Revelstoke; ; Kimberley,ICH,NA,Native,Regularly occurring,NA,NA,N,Y,NA
Lumpenella longirostris,NA,Longsnout Prickleback,NA,F-LULO,AFCSC11010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lumpenus sagitta,NA,Snake Prickleback,NA,F-LUSA,AFCSC12050,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Luvarus imperialis,NA,Louvar,NA,F-LUIM,AFCSN01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Luvaridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycenchelys camchatica,NA,Kamchatka Eelpout,NA,F-LYCA,AFCMG04040,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycenchelys crotalinus,NA,Snakehead Eelpout,NA,F-LYCR,AFCMG04020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycenchelys jordani,NA,Shortjaw Eelpout,NA,F-LYJO,AFCMG04030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycenchelys micropora,NA,Manytoothed Eelpout,NA,F-LYMI,AFCMG04050,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus dermatinus,NA,Looseskin Eelpout,NA,F-LYDE,AFCMG05060,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus endemoscotus,NA,Deepwater Slipskin,NA,F-LYEN,AFCMG05040,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus fierasfer,NA,Blackmouth Slipskin,NA,F-LYFI,AFCMG05010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus mandibularis,NA,Pallid Eelpout,NA,F-LYMA,AFCMG05020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus pachysoma,NA,Stout Slipskin,NA,F-LYPA,AFCMG05050,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus parviceps,NA,Smallhead Eelpout,NA,F-LYPR,AFCMG05030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodapus psarostomatus,NA,Specklemouth Eelpout,NA,F-LYPS,AFCS805040,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodes brevipes,NA,Shortfin Eelpout,NA,F-LYBR,AFCS806010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodes cortezianus,NA,Bigfin Eelpout,NA,F-LYCO,AFCS806160,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodes diapterus,NA,Black Eelpout,NA,F-LYDI,AFCS806020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodes pacificus,NA,Blackbelly Eelpout,NA,F-LYPC,AFCMG07010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lycodes palearis,NA,Wattled Eelpout,NA,F-LYPL,AFCS806050,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Lyopsetta exilis,Eopsetta exilis,Slender Sole,NA,F-LYEX,AFCTB04020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Macropinna microstoma,NA,Barreleye,NA,F-MAMI,AFCHG01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Opisthoproctidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Magnisudis atlantica,NA,Duckbill Barracudina,NA,F-MAAT,AFC8D01010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Malacocottus kincaidi,NA,Blackfin Sculpin,NA,F-MAKI,AFC4E36010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Malacocottus zonurus,NA,Darkfin Sculpin,NA,F-MAZO,AFC4E36020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Mallotus villosus,NA,Capelin,NA,F-MAVI,AFCHB06010,G5,Jan-08,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Margariscus nachtriebi,Margariscus margarita,Pearl Dace,NA,F-MANA,AFCJB54020,G5,Dec-17,S4,Mar-19,May-19,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,Y,NA
Maulisia argipalla,NA,Pitted Tubeshoulder,NA,F-MAAR,AFCHK02010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Platytroctidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Medialuna californiensis,NA,Halfmoon,NA,F-MECA,AFCRN04010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Kyphosidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Melamphaes lugubris,NA,Highsnout Ridgehead,NA,F-MELU,AFC9C01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stephanoberyciformes,Melamphaidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Melanonus zugmayeri,NA,Arrowtail,NA,F-MEZU,AFCMJ01010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Melanonidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Melanostigma pammelas,NA,Pacific Soft Pout,NA,F-MEPA,AFCS811020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Merluccius productus,NA,Pacific Hake,NA,F-MEPR,AFCMA10020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Merlucciidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Microgadus proximus,NA,Pacific Tomcod,NA,F-MIPR,AFCMA02020,G5,Apr-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Micropterus dolomieu,NA,Smallmouth Bass,NA,F-MIDO,AFCQB12020,G5,Feb-16,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Micropterus salmoides,NA,Largemouth Bass,NA,F-MISA,AFCQB12050,G5,Feb-16,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Microstomus pacificus,NA,Dover Sole,NA,F-MIPA,AFCTB14010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Misgurnus anguillicaudatus,NA,Oriental Weatherfish,NA,F-MIAN,AFCJD01010,G5,Sep-96,SNA,May-19,Dec-15,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cobitidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Mola mola,NA,Ocean Sunfish,NA,F-MOMO,AFC3F01020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Tetraodontiformes,Molidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Mola tecta,NA,Hoodwinker Sunfish,NA,F-MOTE,AFC3F01030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Tetraodontiformes,Molidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Mylocheilus caurinus,NA,Peamouth,NA,F-MYCA,AFCJB24010,G5,Feb-16,S5,May-19,Jan-92,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
